num,fecha,clave_edo,estado,clave_mun,municipio,categoria,tipo
243,2016-10-04,19,Nuevo León,19046,San Nicolás de los Garza,Vandalismo en Vía,Componentes de Señales
244,2016-10-04,19,Nuevo León,19006,Apodaca,Vandalismo en Vía,Componentes de Señales
245,2016-10-04,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
246,2016-10-04,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
247,2016-10-04,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
248,2016-10-04,05,Coahuila de Zaragoza,05022,Nava,Vandalismo al Tren,Cierre de Angulares
249,2016-10-04,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
250,2016-10-04,32,Zacatecas,32056,Zacatecas,Vandalismo al Tren,Cierre de Angulares
251,2016-10-04,22,Querétaro,22007,Ezequiel Montes,Vandalismo al Tren,Cierre de Angulares
252,2016-10-04,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
253,2016-10-04,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
254,2016-10-04,14,Jalisco,14083,Tala,Vandalismo al Tren,Cierre de Angulares
255,2016-10-04,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
256,2016-10-04,16,Michoacán de Ocampo,16010,Arteaga,Vandalismo en Vía,Componentes de Vía
257,2016-10-04,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
258,2016-10-04,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
259,2016-10-04,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
260,2016-10-04,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
261,2016-10-04,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
262,2016-10-04,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
263,2016-10-04,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
264,2016-10-04,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Apertura de Unidades
265,2016-10-04,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
266,2016-10-04,15,México,15091,Teoloyucan,Vandalismo al Tren,Cierre de Angulares
267,2016-10-04,20,Oaxaca,20021,Cosolapa,Vandalismo al Tren,Cierre de Angulares
268,2016-10-04,15,México,15104,Tlalnepantla de Baz,Robo a Tren,Material Rodante
269,2016-10-04,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
